PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
185,3,1,4,0,2,22,S,1
186,1,0,,0,0,50,S,0
187,3,1,,1,0,15,Q,1
188,1,0,45,0,0,26,S,1
189,3,0,40,1,1,15,Q,0
190,3,0,36,0,0,7,S,0
191,2,1,32,0,0,13,S,1
192,2,0,19,0,0,13,S,0
193,3,1,19,1,0,7,S,1
194,2,0,3,1,1,26,S,1
195,1,1,44,0,0,27,C,1
196,1,1,58,0,0,146,C,1
197,3,0,,0,0,7,Q,0
198,3,0,42,0,1,8,S,0
199,3,1,,0,0,7,Q,1
200,2,1,24,0,0,13,S,0
201,3,0,28,0,0,9,S,0
202,3,0,,8,2,69,S,0
203,3,0,34,0,0,6,S,0
204,3,0,45.5,0,0,7,C,0
205,3,0,18,0,0,8,S,1
206,3,1,2,0,1,10,S,0
207,3,0,32,1,0,15,S,0
208,3,0,26,0,0,18,C,1
209,3,1,16,0,0,7,Q,1
210,1,0,40,0,0,31,C,1
211,3,0,24,0,0,7,S,0
212,2,1,35,0,0,21,S,1
213,3,0,22,0,0,7,S,0
214,2,0,30,0,0,13,S,0
215,3,0,,1,0,7,Q,0
216,1,1,31,1,0,113,C,1
217,3,1,27,0,0,7,S,1
218,2,0,42,1,0,27,S,0
219,1,1,32,0,0,76,C,1
220,2,0,30,0,0,10,S,0
221,3,0,16,0,0,8,S,1
222,2,0,27,0,0,13,S,0
223,3,0,51,0,0,8,S,0
224,3,0,,0,0,7,S,0
225,1,0,38,1,0,90,S,1
226,3,0,22,0,0,9,S,0
227,2,0,19,0,0,10,S,1
228,3,0,20.5,0,0,7,S,0
229,2,0,18,0,0,13,S,0
230,3,1,,3,1,25,S,0
231,1,1,35,1,0,83,S,1
232,3,0,29,0,0,7,S,0
233,2,0,59,0,0,13,S,0
234,3,1,5,4,2,31,S,1
235,2,0,24,0,0,10,S,0
236,3,1,,0,0,7,S,0
237,2,0,44,1,0,26,S,0
238,2,1,8,0,2,26,S,1
239,2,0,19,0,0,10,S,0
240,2,0,33,0,0,12,S,0
241,3,1,,1,0,14,C,0
242,3,1,,1,0,15,Q,1
243,2,0,29,0,0,10,S,0
244,3,0,22,0,0,7,S,0
245,3,0,30,0,0,7,C,0
246,1,0,44,2,0,90,Q,0
247,3,1,25,0,0,7,S,0
248,2,1,24,0,2,14,S,1
249,1,0,37,1,1,52,S,1
250,2,0,54,1,0,26,S,0
251,3,0,,0,0,7,S,0
252,3,1,29,1,1,10,S,0
253,1,0,62,0,0,26,S,0
254,3,0,30,1,0,16,S,0
255,3,1,41,0,2,20,S,0
256,3,1,29,0,2,15,C,1
257,1,1,,0,0,79,C,1
258,1,1,30,0,0,86,S,1
259,1,1,35,0,0,512,C,1
260,2,1,50,0,1,26,S,1
261,3,0,,0,0,7,Q,0
262,3,0,3,4,2,31,S,1
263,1,0,52,1,1,79,S,0
264,1,0,40,0,0,0,S,0
265,3,1,,0,0,7,Q,0
266,2,0,36,0,0,10,S,0
267,3,0,16,4,1,39,S,0
268,3,0,25,1,0,7,S,1
269,1,1,58,0,1,153,S,1
270,1,1,35,0,0,135,S,1
271,1,0,,0,0,31,S,0
272,3,0,25,0,0,0,S,1
273,2,1,41,0,1,19,S,1
274,1,0,37,0,1,29,C,0
275,3,1,,0,0,7,Q,1
276,1,1,63,1,0,77,S,1
277,3,1,45,0,0,7,S,0
278,2,0,,0,0,0,S,0
279,3,0,7,4,1,29,Q,0
280,3,1,35,1,1,20,S,1
281,3,0,65,0,0,7,Q,0
282,3,0,28,0,0,7,S,0
283,3,0,16,0,0,9,S,0
284,3,0,19,0,0,8,S,1
285,1,0,,0,0,26,S,0
286,3,0,33,0,0,8,C,0
287,3,0,30,0,0,9,S,1
288,3,0,22,0,0,7,S,0
289,2,0,42,0,0,13,S,1
290,3,1,22,0,0,7,Q,1
291,1,1,26,0,0,78,S,1
292,1,1,19,1,0,91,C,1
293,2,0,36,0,0,12,C,0
294,3,1,24,0,0,8,S,0
295,3,0,24,0,0,7,S,0
296,1,0,,0,0,27,C,0
297,3,0,23.5,0,0,7,C,0
298,1,1,2,1,2,151,S,0
299,1,0,,0,0,30,S,1
300,1,1,50,0,1,247,C,1
301,3,1,,0,0,7,Q,1
302,3,0,,2,0,23,Q,1
303,3,0,19,0,0,0,S,0
304,2,1,,0,0,12,Q,1
305,3,0,,0,0,8,S,0
306,1,0,0.92,1,2,151,S,1
307,1,1,,0,0,110,C,1
308,1,1,17,1,0,108,C,1
309,2,0,30,1,0,24,C,0
310,1,1,30,0,0,56,C,1
311,1,1,24,0,0,83,C,1
312,1,1,18,2,2,262,C,1
313,2,1,26,1,1,26,S,0
314,3,0,28,0,0,7,S,0
315,2,0,43,1,1,26,S,0
316,3,1,26,0,0,7,S,1
317,2,1,24,1,0,26,S,1
318,2,0,54,0,0,14,S,0
319,1,1,31,0,2,164,S,1
320,1,1,40,1,1,134,C,1
321,3,0,22,0,0,7,S,0
322,3,0,27,0,0,7,S,0
323,2,1,30,0,0,12,Q,1
324,2,1,22,1,1,29,S,1
325,3,0,,8,2,69,S,0
326,1,1,36,0,0,135,C,1
327,3,0,61,0,0,6,S,0
328,2,1,36,0,0,13,S,1
329,3,1,31,1,1,20,S,1
330,1,1,16,0,1,57,C,1
331,3,1,,2,0,23,Q,1
332,1,0,45.5,0,0,28,S,0
333,1,0,38,0,1,153,S,0
334,3,0,16,2,0,18,S,0
335,1,1,,1,0,133,S,1
336,3,0,,0,0,7,S,0
337,1,0,29,1,0,66,S,0
338,1,1,41,0,0,134,C,1
339,3,0,45,0,0,8,S,1
340,1,0,45,0,0,35,S,0
341,2,0,2,1,1,26,S,1
342,1,1,24,3,2,263,S,1
343,2,0,28,0,0,13,S,0
344,2,0,25,0,0,13,S,0
345,2,0,36,0,0,13,S,0
346,2,1,24,0,0,13,S,1
347,2,1,40,0,0,13,S,1
348,3,1,,1,0,16,S,1
349,3,0,3,1,1,15,S,1
350,3,0,42,0,0,8,S,0
351,3,0,23,0,0,9,S,0
352,1,0,,0,0,35,S,0
353,3,0,15,1,1,7,C,0
354,3,0,25,1,0,17,S,0
355,3,0,,0,0,7,C,0
356,3,0,28,0,0,9,S,0
357,1,1,22,0,1,55,S,1
358,2,1,38,0,0,13,S,0
359,3,1,,0,0,7,Q,1
360,3,1,,0,0,7,Q,1
361,3,0,40,1,4,27,S,0
362,2,0,29,1,0,27,C,0
363,3,1,45,0,1,14,C,0
364,3,0,35,0,0,7,S,0
365,3,0,,1,0,15,Q,0
366,3,0,30,0,0,7,S,0
367,1,1,60,1,0,75,C,1
368,3,1,,0,0,7,C,1
369,3,1,,0,0,7,Q,1
370,1,1,24,0,0,69,C,1
371,1,0,25,1,0,55,C,1
372,3,0,18,1,0,6,S,0
373,3,0,19,0,0,8,S,0
374,1,0,22,0,0,135,C,0
375,3,1,3,3,1,21,S,0
376,1,1,,1,0,82,C,1
377,3,1,22,0,0,7,S,1
378,1,0,27,0,2,211,C,0
379,3,0,20,0,0,4,C,0
380,3,0,19,0,0,7,S,0
381,1,1,42,0,0,227,C,1
382,3,1,1,0,2,15,C,1
383,3,0,32,0,0,7,S,0
384,1,1,35,1,0,52,S,1
385,3,0,,0,0,7,S,0
386,2,0,18,0,0,73,S,0
387,3,0,1,5,2,46,S,0
388,2,1,36,0,0,13,S,1
389,3,0,,0,0,7,Q,0
390,2,1,17,0,0,12,C,1
391,1,0,36,1,2,120,S,1
392,3,0,21,0,0,7,S,1
393,3,0,28,2,0,7,S,0
394,1,1,23,1,0,113,C,1
395,3,1,24,0,2,16,S,1
396,3,0,22,0,0,7,S,0
397,3,1,31,0,0,7,S,0
398,2,0,46,0,0,26,S,0
399,2,0,23,0,0,10,S,0
400,2,1,28,0,0,12,S,1
401,3,0,39,0,0,7,S,1
402,3,0,26,0,0,8,S,0
403,3,1,21,1,0,9,S,0
404,3,0,28,1,0,15,S,0
405,3,1,20,0,0,8,S,0
406,2,0,34,1,0,21,S,0
407,3,0,51,0,0,7,S,0
408,2,0,3,1,1,18,S,1
409,3,0,21,0,0,7,S,0
410,3,1,,3,1,25,S,0
411,3,0,,0,0,7,S,0
412,3,0,,0,0,6,Q,0
413,1,1,33,1,0,90,Q,1
414,2,0,,0,0,0,S,0
415,3,0,44,0,0,7,S,1
416,3,1,,0,0,8,S,0
417,2,1,34,1,1,32,S,1
418,2,1,18,0,2,13,S,1
419,2,0,30,0,0,13,S,0
420,3,1,10,0,2,24,S,0
421,3,0,,0,0,7,C,0
422,3,0,21,0,0,7,Q,0
423,3,0,29,0,0,7,S,0
424,3,1,28,1,1,14,S,0
425,3,0,18,1,1,20,S,0
426,3,0,,0,0,7,S,0
427,2,1,28,1,0,26,S,1
428,2,1,19,0,0,26,S,1
429,3,0,,0,0,7,Q,0
430,3,0,32,0,0,8,S,1
431,1,0,28,0,0,26,S,1
432,3,1,,1,0,16,S,1
433,2,1,42,1,0,26,S,1
434,3,0,17,0,0,7,S,0
435,1,0,50,1,0,55,S,0
436,1,1,14,1,2,120,S,1
437,3,1,21,2,2,34,S,0
438,2,1,24,2,3,18,S,1
439,1,0,64,1,4,263,S,0
440,2,0,31,0,0,10,S,0
441,2,1,45,1,1,26,S,1
442,3,0,20,0,0,9,S,0
443,3,0,25,1,0,7,S,0
444,2,1,28,0,0,13,S,1
445,3,0,,0,0,8,S,1
446,1,0,4,0,2,81,S,1
447,2,1,13,0,1,19,S,1
448,1,0,34,0,0,26,S,1
449,3,1,5,2,1,19,C,1
450,1,0,52,0,0,30,S,1
451,2,0,36,1,2,27,S,0
452,3,0,,1,0,19,S,0
453,1,0,30,0,0,27,C,0
454,1,0,49,1,0,89,C,1
455,3,0,,0,0,8,S,0
456,3,0,29,0,0,7,C,1
457,1,0,65,0,0,26,S,0
458,1,1,,1,0,51,S,1
459,2,1,50,0,0,10,S,1
460,3,0,,0,0,7,Q,0
461,1,0,48,0,0,26,S,1
462,3,0,34,0,0,8,S,0
463,1,0,47,0,0,38,S,0
464,2,0,48,0,0,13,S,0
465,3,0,,0,0,8,S,0
466,3,0,38,0,0,7,S,0
467,2,0,,0,0,0,S,0
468,1,0,56,0,0,26,S,0
469,3,0,,0,0,7,Q,0
470,3,1,0.75,2,1,19,C,1
471,3,0,,0,0,7,S,0
472,3,0,38,0,0,8,S,0
473,2,1,33,1,2,27,S,1
474,2,1,23,0,0,13,C,1
475,3,1,22,0,0,9,S,0
476,1,0,,0,0,52,S,0
477,2,0,34,1,0,21,S,0
478,3,0,29,1,0,7,S,0
479,3,0,22,0,0,7,S,0
480,3,1,2,0,1,12,S,1
481,3,0,9,5,2,46,S,0
482,2,0,,0,0,0,S,0
483,3,0,50,0,0,8,S,0
484,3,1,63,0,0,9,S,1
485,1,0,25,1,0,91,C,1
486,3,1,,3,1,25,S,0
487,1,1,35,1,0,90,S,1
488,1,0,58,0,0,29,C,0
489,3,0,30,0,0,8,S,0
490,3,0,9,1,1,15,S,1
491,3,0,,1,0,19,S,0
492,3,0,21,0,0,7,S,0
493,1,0,55,0,0,30,S,0
494,1,0,71,0,0,49,C,0
495,3,0,21,0,0,8,S,0
496,3,0,,0,0,14,C,0
497,1,1,54,1,0,78,C,1
498,3,0,,0,0,15,S,0
499,1,1,25,1,2,151,S,0
500,3,0,24,0,0,7,S,0
501,3,0,17,0,0,8,S,0
502,3,1,21,0,0,7,Q,0
503,3,1,,0,0,7,Q,0
504,3,1,37,0,0,9,S,0
505,1,1,16,0,0,86,S,1
506,1,0,18,1,0,108,C,0
507,2,1,33,0,2,26,S,1
508,1,0,,0,0,26,S,1
509,3,0,28,0,0,22,S,0
510,3,0,26,0,0,56,S,1
511,3,0,29,0,0,7,Q,1
512,3,0,,0,0,8,S,0
513,1,0,36,0,0,26,S,1
514,1,1,54,1,0,59,C,1
515,3,0,24,0,0,7,S,0
516,1,0,47,0,0,34,S,0
517,2,1,34,0,0,10,S,1
518,3,0,,0,0,24,Q,0
519,2,1,36,1,0,26,S,1
520,3,0,32,0,0,7,S,0
521,1,1,30,0,0,93,S,1
522,3,0,22,0,0,7,S,0
523,3,0,,0,0,7,C,0
524,1,1,44,0,1,57,C,1
525,3,0,,0,0,7,C,0
526,3,0,40.5,0,0,7,Q,0
527,2,1,50,0,0,10,S,1
528,1,0,,0,0,221,S,0
529,3,0,39,0,0,7,S,0
530,2,0,23,2,1,11,S,0
531,2,1,2,1,1,26,S,1
532,3,0,,0,0,7,C,0
533,3,0,17,1,1,7,C,0
534,3,1,,0,2,22,C,1
535,3,1,30,0,0,8,S,0
536,2,1,7,0,2,26,S,1
537,1,0,45,0,0,26,S,0
538,1,1,30,0,0,106,C,1
539,3,0,,0,0,14,S,0
540,1,1,22,0,2,49,C,1
541,1,1,36,0,2,71,S,1
542,3,1,9,4,2,31,S,0
543,3,1,11,4,2,31,S,0
544,2,0,32,1,0,26,S,1
545,1,0,50,1,0,106,C,0
546,1,0,64,0,0,26,S,0
547,2,1,19,1,0,26,S,1
548,2,0,,0,0,13,C,1
549,3,0,33,1,1,20,S,0
550,2,0,8,1,1,36,S,1
551,1,0,17,0,2,110,C,1
552,2,0,27,0,0,26,S,0
553,3,0,,0,0,7,Q,0
554,3,0,22,0,0,7,C,1
555,3,1,22,0,0,7,S,1
556,1,0,62,0,0,26,S,0
557,1,1,48,1,0,39,C,1
558,1,0,,0,0,227,C,0
559,1,1,39,1,1,79,S,1
560,3,1,36,1,0,17,S,1
561,3,0,,0,0,7,Q,0
562,3,0,40,0,0,7,S,0
563,2,0,28,0,0,13,S,0
564,3,0,,0,0,8,S,0
565,3,1,,0,0,8,S,0
566,3,0,24,2,0,24,S,0
567,3,0,19,0,0,7,S,0
568,3,1,29,0,4,21,S,0
569,3,0,,0,0,7,C,0
570,3,0,32,0,0,7,S,1
571,2,0,62,0,0,10,S,1
572,1,1,53,2,0,51,S,1
573,1,0,36,0,0,26,S,1
574,3,1,,0,0,7,Q,1
575,3,0,16,0,0,8,S,0
576,3,0,19,0,0,14,S,0
577,2,1,34,0,0,13,S,1
578,1,1,39,1,0,55,S,1
579,3,1,,1,0,14,C,0
580,3,0,32,0,0,7,S,1
581,2,1,25,1,1,30,S,1
582,1,1,39,1,1,110,C,1
583,2,0,54,0,0,26,S,0
584,1,0,36,0,0,40,C,0
585,3,0,,0,0,8,C,0
586,1,1,18,0,2,79,S,1
587,2,0,47,0,0,15,S,0
588,1,0,60,1,1,79,C,1
589,3,0,22,0,0,8,S,0
590,3,0,,0,0,8,S,0
591,3,0,35,0,0,7,S,0
592,1,1,52,1,0,78,C,1
593,3,0,47,0,0,7,S,0
594,3,1,,0,2,7,Q,0
595,2,0,37,1,0,26,S,0
596,3,0,36,1,1,24,S,0
597,2,1,,0,0,33,S,1
598,3,0,49,0,0,0,S,0
599,3,0,,0,0,7,C,0
600,1,0,49,1,0,56,C,1
601,2,1,24,2,1,27,S,1
602,3,0,,0,0,7,S,0
603,1,0,,0,0,42,S,0
604,3,0,44,0,0,8,S,0
605,1,0,35,0,0,26,C,1
606,3,0,36,1,0,15,S,0
607,3,0,30,0,0,7,S,0
608,1,0,27,0,0,30,S,1
609,2,1,22,1,2,41,C,1
610,1,1,40,0,0,153,S,1
611,3,1,39,1,5,31,S,0
612,3,0,,0,0,7,S,0
613,3,1,,1,0,15,Q,1
614,3,0,,0,0,7,Q,0
615,3,0,35,0,0,8,S,0
616,2,1,24,1,2,65,S,1
617,3,0,34,1,1,14,S,0
618,3,1,26,1,0,16,S,0
619,2,1,4,2,1,39,S,1
620,2,0,26,0,0,10,S,0
621,3,0,27,1,0,14,C,0
622,1,0,42,1,0,52,S,1
623,3,0,20,1,1,15,C,1
624,3,0,21,0,0,7,S,0
625,3,0,21,0,0,16,S,0
626,1,0,61,0,0,32,S,0
627,2,0,57,0,0,12,Q,0
628,1,1,21,0,0,77,S,1
629,3,0,26,0,0,7,S,0
630,3,0,,0,0,7,Q,0
631,1,0,80,0,0,30,S,1
632,3,0,51,0,0,7,S,0
633,1,0,32,0,0,30,C,1
634,1,0,,0,0,0,S,0
635,3,1,9,3,2,27,S,0
636,2,1,28,0,0,13,S,1
637,3,0,32,0,0,7,S,0
638,2,0,31,1,1,26,S,0
639,3,1,41,0,5,39,S,0
640,3,0,,1,0,16,S,0
641,3,0,20,0,0,7,S,0
642,1,1,24,0,0,69,C,1
643,3,1,2,3,2,27,S,0
644,3,0,,0,0,56,S,1
645,3,1,0.75,2,1,19,C,1
646,1,0,48,1,0,76,C,1
647,3,0,19,0,0,7,S,0
648,1,0,56,0,0,35,C,1
649,3,0,,0,0,7,S,0
650,3,1,23,0,0,7,S,1
651,3,0,,0,0,7,S,0
652,2,1,18,0,1,23,S,1
653,3,0,21,0,0,8,S,0
654,3,1,,0,0,7,Q,1
655,3,1,18,0,0,6,Q,0
656,2,0,24,2,0,73,S,0
657,3,0,,0,0,7,S,0
658,3,1,32,1,1,15,Q,0
659,2,0,23,0,0,13,S,0
660,1,0,58,0,2,113,C,0
661,1,0,50,2,0,133,S,1
662,3,0,40,0,0,7,C,0
663,1,0,47,0,0,25,S,0
664,3,0,36,0,0,7,S,0
665,3,0,20,1,0,7,S,1
666,2,0,32,2,0,73,S,0
667,2,0,25,0,0,13,S,0
668,3,0,,0,0,7,S,0
669,3,0,43,0,0,8,S,0
670,1,1,,1,0,52,S,1
671,2,1,40,1,1,39,S,1
672,1,0,31,1,0,52,S,0
673,2,0,70,0,0,10,S,0
674,2,0,31,0,0,13,S,1
675,2,0,,0,0,0,S,0
676,3,0,18,0,0,7,S,0
677,3,0,24.5,0,0,8,S,0
678,3,1,18,0,0,9,S,1
679,3,1,43,1,6,46,S,0
680,1,0,36,0,1,512,C,1
681,3,1,,0,0,8,Q,0
682,1,0,27,0,0,76,C,1
683,3,0,20,0,0,9,S,0
684,3,0,14,5,2,46,S,0
685,2,0,60,1,1,39,S,0
686,2,0,25,1,2,41,C,0
687,3,0,14,4,1,39,S,0
688,3,0,19,0,0,10,S,0
689,3,0,18,0,0,7,S,0
690,1,1,15,0,1,211,S,1
691,1,0,31,1,0,57,S,1
692,3,1,4,0,1,13,C,1
693,3,0,,0,0,56,S,1
694,3,0,25,0,0,7,C,0
695,1,0,60,0,0,26,S,0
696,2,0,52,0,0,13,S,0
697,3,0,44,0,0,8,S,0
698,3,1,,0,0,7,Q,1
699,1,0,49,1,1,110,C,0
700,3,0,42,0,0,7,S,0
701,1,1,18,1,0,227,C,1
702,1,0,35,0,0,26,S,1
703,3,1,18,0,1,14,C,0
704,3,0,25,0,0,7,Q,0
705,3,0,26,1,0,7,S,0
706,2,0,39,0,0,26,S,0
707,2,1,45,0,0,13,S,1
708,1,0,42,0,0,26,S,1
709,1,1,22,0,0,151,S,1
710,3,0,,1,1,15,C,1
711,1,1,24,0,0,49,C,1
712,1,0,,0,0,26,S,0
713,1,0,48,1,0,52,S,1
714,3,0,29,0,0,9,S,0
715,2,0,52,0,0,13,S,0
716,3,0,19,0,0,7,S,0
717,1,1,38,0,0,227,C,1
718,2,1,27,0,0,10,S,1
719,3,0,,0,0,15,Q,0
720,3,0,33,0,0,7,S,0
721,2,1,6,0,1,33,S,1
722,3,0,17,1,0,7,S,0
723,2,0,34,0,0,13,S,0
724,2,0,50,0,0,13,S,0
725,1,0,27,1,0,53,S,1
726,3,0,20,0,0,8,S,0
727,2,1,30,3,0,21,S,1
728,3,1,,0,0,7,Q,1
729,2,0,25,1,0,26,S,0
730,3,1,25,1,0,7,S,0
731,1,1,29,0,0,211,S,1
732,3,0,11,0,0,18,C,0
733,2,0,,0,0,0,S,0
734,2,0,23,0,0,13,S,0
735,2,0,23,0,0,13,S,0
736,3,0,28.5,0,0,16,S,0
737,3,1,48,1,3,34,S,0
738,1,0,35,0,0,512,C,1
739,3,0,,0,0,7,S,0
740,3,0,,0,0,7,S,0
741,1,0,,0,0,30,S,1
742,1,0,36,1,0,78,S,0
743,1,1,21,2,2,262,C,1
744,3,0,24,1,0,16,S,0
745,3,0,31,0,0,7,S,1
746,1,0,70,1,1,71,S,0
747,3,0,16,1,1,20,S,0
748,2,1,30,0,0,13,S,1
749,1,0,19,1,0,53,S,0
750,3,0,31,0,0,7,Q,0
751,2,1,4,1,1,23,S,1
752,3,0,6,0,1,12,S,1
753,3,0,33,0,0,9,S,0
754,3,0,23,0,0,7,S,0
755,2,1,48,1,2,65,S,1
756,2,0,0.67,1,1,14,S,1
757,3,0,28,0,0,7,S,0
758,2,0,18,0,0,11,S,0
759,3,0,34,0,0,8,S,0
760,1,1,33,0,0,86,S,1
761,3,0,,0,0,14,S,0
762,3,0,41,0,0,7,S,0
763,3,0,20,0,0,7,C,1
764,1,1,36,1,2,120,S,1
765,3,0,16,0,0,7,S,0
766,1,1,51,1,0,77,S,1
767,1,0,,0,0,39,C,0
768,3,1,30.5,0,0,7,Q,0
769,3,0,,1,0,24,Q,0
770,3,0,32,0,0,8,S,0
771,3,0,24,0,0,9,S,0
772,3,0,48,0,0,7,S,0
773,2,1,57,0,0,10,S,0
774,3,0,,0,0,7,C,0
775,2,1,54,1,3,23,S,1
